Sentence,class,file
Nat Genet 2006; 38:1440-5; PMID:17099714; http://dx.doi.org/ 10.1038/ng1915 65.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Available at: http://www.regjeringen.no/upload/kilde/fin/reg/2005/0029/ddd/pdfv/266324-veileder_i_samfunnsok_analyse_trykket.pdf (accessed 6 January 2011) Norwegian Medical Association (2010a) Guidelines for Cervical Cancer.,Non-OADS,/arxiv_data1/oa_pdf/b5/0d/bjc201294a.PMC3341862.pdf
Available at: http://www.legeforeningen.no/id/153817.0 (accessed 11November 2010) Norwegian Medical Association (2010b) Normal tariff for private general practice 2010–2011.,Non-OADS,/arxiv_data1/oa_pdf/b5/0d/bjc201294a.PMC3341862.pdf
"Available at: http://www.legemiddelverket.no/upload/144901/ 09-16212-8%20RAPPORT%201622714_underskrevet.pdf (accessed 1May 2011) Nygard JF, Nygard M, Skare GB, Thoresen SO (2006) Pap smear screening in women under 30 in the Norwegian Coordinated CervicalCancer Screening Program, with a comparison of immediate biopsyvs Pap smear triage of moderate dysplasia.",Non-OADS,/arxiv_data1/oa_pdf/b5/0d/bjc201294a.PMC3341862.pdf
"J Natl Cancer Inst Monogr 2003 (31):97–101 Statistics Norway (2011) Available at: http://www.ssb.no/english/ (accessed 10 January 2011) Stinnett AA, Paltiel AD (1997) Estimating CE ratios under second-order uncertainty: the mean ratio versus the ratio of means.",OADS,/arxiv_data1/oa_pdf/b5/0d/bjc201294a.PMC3341862.pdf
"Available at: http://www.ssb.no/whs_en/ (accessed 5 January 2011) Wright TC, Massad S, Dunton CJ, Spitzer M, Wilkinson EJ, Solomon D (2007) 2006 consensus guidelines for the management of women with abnormal cervical cancer screening tests.",Non-OADS,/arxiv_data1/oa_pdf/b5/0d/bjc201294a.PMC3341862.pdf
http://ctep.cancer.gov/reporting/ctc_v30.html accessed on 24 October 2011 National Comprehensive Cancer Network (2012) NCCN Clinical Practice Guidelines in Oncology: Kidney Cancer.,Non-OADS,/arxiv_data1/oa_pdf/1e/48/bjc201289a.PMC3341863.pdf
"http://www.nccn.org accessed on 2February 2012 Oudard S, Elaidi RT (2012) Sequential therapy with targeted agents in patients with advanced renal cell carcinoma: optimizing patient benefit.Cancer Treat Rev , http://dx.doi.org/10.1016/j.ctrv.2011.12.009 Porta C, Ostanto S, Ravaud A, Climent MA, Vaishampayan U, White DA, Creel P, Dickow B, Fischer P, Gornell SS, Meloni F, Motzer RJ (2011b)Management of adverse events associated with the use of everolimus inpatients with advanced renal cell carcinoma.",Non-OADS,/arxiv_data1/oa_pdf/1e/48/bjc201289a.PMC3341863.pdf
"Supplementary Information accompanies the paper on British Journal of Cancer website (http://www.nature.com/bjc) REFERENCES Bakolitsa C, Cohen DM, Bankston LA, Bobkov AA, Cadwell GW, Jennings L, Critchley DR, Craig SW, Liddington RC (2004) Structural basis for vinculin activation at sites of cell adhesion.",Non-OADS,/arxiv_data1/oa_pdf/57/7d/bjc2012107a.PMC3341864.pdf
"Supplementary Information accompanies the paper on British Journal of Cancer website (http://www.nature.com/bjc) REFERENCES Baigent C, Blackwell L, Collins R, Emberson J, Godwin J, Peto R, Buring J, Hennekens C, Kearney P, Meade T, Patrono C, Roncaglioni MC, Zanchetti A (2009) Aspirin in the primary and secondary prevention of vascular disease: collaborative meta-analysis of individual participantdata from randomised trials.",Non-OADS,/arxiv_data1/oa_pdf/a1/b6/bjc2012101a.PMC3341868.pdf
Matched binding sites were selected withcore and matrix similarity of 40.8 (http://www.genomatix.de/ online_help/help_matinspector/matinspector_help.html).,OADS,/arxiv_data1/oa_pdf/58/6c/bjc2012130a.PMC3341869.pdf
"To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/3.0/PPARgamma inhibits liver cancer metastasis B Shen et al 1494 British Journal of Cancer (2012) 106(9), 1486 – 1494 &2012 Cancer Research UK Translational Therapeutics",Non-OADS,/arxiv_data1/oa_pdf/58/6c/bjc2012130a.PMC3341869.pdf
"Supplementary Information accompanies the paper on British Journal of Cancer website (http://www.nature.com/bjc) REFERENCES Amuthan G, Biswas G, Zhang SY, Klein-Szanto A, Vijayasarathy C, Avadhani NG (2001) Mitochondria-to-nucleus stress signaling induces phenotypic changes, tumor progression and cell invasion.",Non-OADS,/arxiv_data1/oa_pdf/ac/c7/bjc201274a.PMC3341870.pdf
The sequence logo wasgenerated using WebLogo (http://weblogo.berkeley.edu/).,OADS,/arxiv_data1/oa_pdf/3d/c7/fimmu-02-00069.PMC3341948.pdf
"Peptides Reference Experimental HLAPredicted afﬁnity (nM)Predicted HLABlock position Pan-DENV peptide frequencyProtein A MLLALIAVL 16493038 A*02:01 10 A*02:01 2151 24.86 NS4ALLLTLLATV 16493038 A*02:01 9 A*02:01 2151 24.79 NS4ALLLGLMILL 16493038 A*02:01 14 A*02:01 2151 23.29 NS4AML VALLGAM 16493038 A*02:01 300 A*02:01 2151 25.23 NS4A Accumulated frequency: 98.17 TPEGIIPSM 7529799 B*35:01 49 B*35:01 1977 25.78 NS3TPEGIIPTL 7529799 B*35:01 345 B*35:01 1977 25.73 NS3TPEGIIPAL 7544398 B*35 108 B*35:01 1977 48.19 NS3TPEGIIPSL 7544398 B*35 836 B*35:01 1977 0.15 NS Accumulated frequency: 99.85 KYTDRKWCF 16517753 A*24 21 A*24:02 2033 23.18 NS3NYADRKWCF 16517753 A*24 32 A*24:02 2033 7 .67 NS3QYSDRRWCF 16517753 A*24 17 A*24:02 2033 24.89 NS3SYKDREWCF 16517753 A*24 18 A*24:02 2033 24.99 NS3NYADRRWCF 1 1709777 A*24 23 A*24:02 2033 17 .62 NS3 Accumulated frequency: 98.35 KPWDIIPMV 17626101 B*55:02 149 B*55:02 2828 0.04 NS5KPWDVIPMV 17626101 B*55:02 192 B*55:02 2828 51 .09 NS5KPWDVLPMV 17626101 B*55:02 158 B*55:02 2828 0.30 NS5KPWDVLPTV 17626101 B*55:02 107 B*55:02 2828 7 .53 NS5KPWDVVPMV 17626101 B*55:02 139 B*55:02 2828 38.73 NS5KPWDVVPTV 17626101 B*55:02 1 12 B*55:02 2828 1 .65 NS5 Accumulated frequency: 99.34 B FLDLPLPWT 16493038 A*02 64 A*02:01 493 50.13 EFLDLPLPWL 16493038 A*02 1 1 A*02:01 493 22.7 EFFDLPLPWT 16493038 A*02:01 13995 A*02:01 493 23.83 E Accumulated frequency: 96.66 GTSGSPIIDKK 12808447 A*1 1 17 A*1 1:01 161 1 9.36 NS3GTSGSPIVDRK 12808447 A*1 1 20 A*1 1:01 161 1 14.2 NS3GTSGSPIVDKK 12808447 A*1 1 18 A*1 1:01 161 1 2.26 NS3GTSGSPIADKK 12808447 A*1 1 22 A*1 1:01 161 1 0.04 NS3GTSGSPIVNRE 12808447 A*1 1 18023 A*1 1:01 161 1 24.97 NS3GTSGSPIINRE 12808447 A*1 1 18156 A*1 1:01 161 1 23.26 NS3GTSGSPIINRK 12808447 A*1 1 16 A*1 1:01 161 1 21 .53 NS3 Accumulated frequency: 95.62 Damm’s; Rebild National Park Society, Inc.; Inge and Jørgen Larsen’s Memorial Scholarship; Mayor Niels Albrechtsen’s Schol-arship; Danish Society of Engineers Scholarship; and OticonFoundation).SUPPLEMENTARY MATERIAL The Supplementary Material for this article can be found online athttp://www.frontiersin.org/t_cell_biology/10.3389/ﬁmmu.2011.00069/abstract REFERENCES Appay, V .",Non-OADS,/arxiv_data1/oa_pdf/3d/c7/fimmu-02-00069.PMC3341948.pdf
Encyclopedia of Life Sciences .Available at: http://www.els.net (accessed September 2009).,OADS,/arxiv_data1/oa_pdf/47/58/fimmu-02-00063.PMC3341996.pdf
Available at: http://www.oed.com/ view/Entry/95531?redirectedFrom=inﬂuenza#eid (2011).,Non-OADS,/arxiv_data1/oa_pdf/62/da/fimmu-02-00076.PMC3342000.pdf
"Available at: http://clinicaltrials.gov/ct2/show/NCT012 08506?term =IL-21&rank =11 Ident iﬁer: NCT01208506 Ozaki, K., Kikly, K., Michalovich, D., Y oung, P .",Non-OADS,/arxiv_data1/oa_pdf/c1/49/fimmu-03-00002.PMC3342005.pdf
"Available at: http://clinicaltrials.gov/ct2/show/NCT01162889?term =A TR-107&rank =1 Identiﬁer: NCT01162889 Qian, Y ., Qin, J., Cui, G., Naramura, M., Snow, E. C., W are, C. F ., Fairchild, R.L., Omori, S. A., Rickert, R. C., Scott,M., Kotzin, B. L., and Li, X.",Non-OADS,/arxiv_data1/oa_pdf/c1/49/fimmu-03-00002.PMC3342005.pdf
See: http://ebooks.adelaide.edu.au/a/aristotle/generation/.,Non-OADS,/arxiv_data1/oa_pdf/62/22/fimmu-03-00068.PMC3342039.pdf
The vaccine was developed in the 1950s and1960s for use in humans and was licensed by the FDA in 1970(http://www.cdc.gov/mmwr/preview/mmwrhtml/rr4915a1.htm).,Non-OADS,/arxiv_data1/oa_pdf/62/22/fimmu-03-00068.PMC3342039.pdf
The structure was downloaded from database of protein structures maintained at NCBI site (http://www.ncbi.nlm.nih.gov/Structure/mmdb/mmdbsrv.cgi?uid =68072).,OADS,/arxiv_data1/oa_pdf/38/c5/fimmu-02-00093.PMC3342094.pdf
"The yellow bar highlights the solvent exposed position of the unstructured segment T yr927–Gly945(D)the X-ray structure of type VIII collagen gC1q, http://www.ncbi.nlm.nih.",Non-OADS,/arxiv_data1/oa_pdf/38/c5/fimmu-02-00093.PMC3342094.pdf
"S.Prahl,“Tabulatedmolarextinctioncoefﬁcientforhemoglobininwater”(OregonMedicalLaserCenter,2007), http://omlc.ogi.edu/spectra/hemoglobin/summary.html.",OADS,/arxiv_data1/oa_pdf/45/45/1006.PMC3342179.pdf
"of Ophthalmology, University MedicalCenter ofSchleswig-Holstein, CampusKiel, Arnold-Heller-Straße 3, Kiel, Germany ∗huettmann@bmo.uni-luebeck.de http://www.bmo.uni-luebeck.de, http://www.mll.uni-luebeck.de Abstract: Visualizing retinal photocoagulation by real-time OCT measurements may considerably improve the understanding of thermally induced tissue changes and might enable a better reproducibility of the ocular laser treatment.",Non-OADS,/arxiv_data1/oa_pdf/a9/3b/1025.PMC3342180.pdf
All 23 images used in the study and their corresponding manual and automatic  segmentation data are available at http://www.duke.edu/~sf59/Chiu_BOE_2012_dataset.htm.,OADS,/arxiv_data1/oa_pdf/1b/bc/1127.PMC3342188.pdf
"“Age -Related Eye Disease Study 2 Ancillary Spectral Domain Optical Coherence Tomography Study  (A2ASDOCT)” (2008 –2013), http://clinicaltrials.gov/ct2/show/NCT00734487   23.",Non-OADS,/arxiv_data1/oa_pdf/ac/79/927.PMC3342198.pdf
"W. Dong, “Sparsity -based Image Denoising via Dictionary Learning and Structural Clustering,”  http://www4.comp.polyu.edu.hk/~cslzhang/code.htm .",Non-OADS,/arxiv_data1/oa_pdf/ac/79/927.PMC3342198.pdf
"To encourage further  research in this area, we have made the data set and the software that we have developed for this project pu blically available at http://www.duke.edu/~sf59/Fang_BOE_2012.htm .",Non-OADS,/arxiv_data1/oa_pdf/ac/79/927.PMC3342198.pdf
"“L1-ls Toolbox,” http://www.stanford.edu/~boyd/l1_ls/ .",Non-OADS,/arxiv_data1/oa_pdf/63/1f/943.PMC3342199.pdf
"The latter was downloaded from the website “Simple Matlab  Solver for l1 - regularized Least Squares Problems,” http://www.stanford.edu/~boyd/l1_ls/, and utilized in  this study.",Non-OADS,/arxiv_data1/oa_pdf/63/1f/943.PMC3342199.pdf
"Life Technologies , “Fl uoSpheres®,” http://probes.invitrogen.com/media/spectra/data/8809h2o.txt.",OADS,/arxiv_data1/oa_pdf/a0/f2/958.PMC3342200.pdf
All operators were trained by the UC Irvine team to teach proper  measurement technique (see http://acrin.bli.uci.edu/ for training manuals and videos).,OADS,/arxiv_data1/oa_pdf/9a/75/966.PMC3342201.pdf
"References and links   1. WHO , ed., “World Malaria Report: 2010 ,” in WHO Library Cataloguing in Publication Data,   http://www.who.int/malaria/world_malaria_report_2010/en/index.html .",Non-OADS,/arxiv_data1/oa_pdf/64/88/991.PMC3342204.pdf
"2. WHO , “Microscopy Quality Assurance Manual” ( 2009 ),  http://www.searo.who.int/LinkFiles/Malaria_MalariaMicroscopyManual .",Non-OADS,/arxiv_data1/oa_pdf/64/88/991.PMC3342204.pdf
"The 14-bp Ins/Del polymorphism (rs 66554220) in the 1http://www.ebi.ac.uk/imgt/hla/T a b l e1|P atients, disease, and transplant characteristics.",Non-OADS,/arxiv_data1/oa_pdf/4f/24/fimmu-02-00074.PMC3342264.pdf
A typical example 2http://www.ncbi.nlm.nih.gov/.,Non-OADS,/arxiv_data1/oa_pdf/4f/24/fimmu-02-00074.PMC3342264.pdf
"RESULTS PATIENT POPULATION AND OVERALL ASSESSMENT STRATEGY Biopsies of HPV-16 positive cervical cancer were obtained fromHLA-A ∗02 positive patients either prior to or following neoadju- vant chemotherapy with cisplatin and etoposide ( Bae et al., 2008 ), 1http://ca.expasy.org/tools/dna.html 2http://mafft.cbrc.jp/alignment/software/.",OADS,/arxiv_data1/oa_pdf/aa/e5/fimmu-02-00075.PMC3342284.pdf
"In Egypt and Aztec cul- tures urine was used to disinfect wounds and was rubbed into theskin to treat cuts and burns (Aztecs at Mixicoloro by Bernard Ortiz de Montellano, W ayne State University, USA; Available at: http://www.mexicolore.co.uk/index.php?one=azt&two=hea).In medical papyri (1550 BCE) of ancient Egypt hematuria wasdescribed using hieroglyphic symbols.",Non-OADS,/arxiv_data1/oa_pdf/e2/05/fimmu-03-00045.PMC3342332.pdf
The color of urine turns brownish due 1www.cdc.gov/parasites/schistosomiasis/gen_info/faqs.html 2http://www.who.int/mediacentre/fa ctsheets/fs115/en/index.html 3http://www.who.int/mediacent re/factsheets/fs117/en/ www.frontiersin.org March 2012 | Volume 3 | Article 45 | 1,Non-OADS,/arxiv_data1/oa_pdf/e2/05/fimmu-03-00045.PMC3342332.pdf
"Fluorescent confocal and tissue images were generatedin the University of New Mexico and Cancer Center Fluo-rescence Microscopy Shared Resource, funded as detailed onhttp://hsc.unm.edu/crtc/microscopy/Facility.html.",OADS,/arxiv_data1/oa_pdf/90/e8/fimmu-03-00046.PMC3342342.pdf
"Adenylate cyclase has been utilized to deliver Ag and induces strong CTL responses that inhibited tumor growth in animalmodels ( Fayolle et al., 1999 ) and is now being trialed in a phase I/II study in melanoma patients for its ability to induceimmunity against an A2 epitope of the melanoma-Ag tyrosinase(http://www.clinicaltrials.gov).",Non-OADS,/arxiv_data1/oa_pdf/2f/7f/fimmu-03-00013.PMC3342351.pdf
One of 1http://www.txcell.com T able 3 | Clinical trials with T reg-based cell therapy.,Non-OADS,/arxiv_data1/oa_pdf/e9/84/fimmu-03-00030.PMC3342353.pdf
"T rial Disease Methods of generation Ag-speciﬁcity In vitro induction In vitro expansion Ex vivo isolation TR1 CELLS Allo-speciﬁc ( Bacchetta et al., 2009 ) Allo-HSCT Y es No No Y es OVA-speciﬁc (http://www.txcell.com) Crohn’s disease No Y es No Y es TREG CELLS CD25highcells ( Di Ianni et al., 201 1 ) Allo-HSCT No No Y es No CD25highcells ( Brunstein et al., 2010 ) Allo-HSCT No Y es Y es No CD25highcells ( T rzonkowski et al., 2009 ) Allo-HSCT No Y es Y es No CD25highcells ( Edinger and Hoffmann, 201 1 ) Allo-HSCT No No Y es No CD25+CD127low/−cells (ClinicalT rials.gov Identiﬁer: NCT01210664)T1D No Y es Y es No www.frontiersin.org February 2012 | Volume 3 | Article 30 | 7",Non-OADS,/arxiv_data1/oa_pdf/e9/84/fimmu-03-00030.PMC3342353.pdf
"Future clinical trials planning to test the safety and efﬁcacy of T reg-based therapy in patients after allogeneic organ trans- plant (THE ONE study)2as well as in patients with autoim- mune diseases, such as type 1 diabetes (ClinicalT rials.gov Iden-tiﬁer: NCT01210664) and rheumatoid arthritis (see text footnote1) will deﬁne if T reg can suppress allograft rejection under the umbrella of immune suppression, and whether T regcan suppress self-Ag speciﬁc T cell responses, and can regulate an ongoing 2http://www.onestudy.org/immune response.",Non-OADS,/arxiv_data1/oa_pdf/e9/84/fimmu-03-00030.PMC3342353.pdf
"Available at:http://www.who.int/leishmaniasis/resources/documents/en/TDR_PRD_LEISH_V AC_01.1.pdf Dunan, S., Frommel, D., Monjour, L., Ogunkolade, B. W ., and Cruz, A, and Quilici, M. (1989).",OADS,/arxiv_data1/oa_pdf/96/b4/fimmu-03-00069.PMC3342354.pdf
"Available at:http://www.portal.saude.gov.br/portal/arquivos/pdf/manual_leish_visceral2006.pdf Miret, J., Nascimento, E., Sampaio, W ., França, J. C., Fujiwara, R. T ., V ale, A., Dias, E. S., Vieira, E., da Costa, R. T ., Mayrink, W ., CamposNeto, A., and Reed, S. (2008).",Non-OADS,/arxiv_data1/oa_pdf/96/b4/fimmu-03-00069.PMC3342354.pdf
Available at:http://www.pt.scribd.com/doc/56634570/Canileish-revista[accessed February 2011].,Non-OADS,/arxiv_data1/oa_pdf/96/b4/fimmu-03-00069.PMC3342354.pdf
Available at: http://www.who.int/leishmaniasis/en/ [accessed February 2011].,Non-OADS,/arxiv_data1/oa_pdf/96/b4/fimmu-03-00069.PMC3342354.pdf
"Avail-able at: http://clinicaltrials.gov/ct2/show/NCT01127464 Osmani, N., Peglion, F., Chavrier, P ., and Etienne-Manneville, S. (2010).Cdc42 localization and cell polaritydepend on membrane trafﬁc.",OADS,/arxiv_data1/oa_pdf/71/3f/fimmu-03-00037.PMC3342355.pdf
"The need for a broadly pro- tective inﬂuenza vaccine is clearly demonstrated by the failureof seasonal inﬂuenza vaccines to control the annual epidemicsof inﬂuenza viruses, which result in about three to ﬁve mil-lion cases of severe illness, and up to 500,000 deaths worldwide(http://www.who.int/mediacentre/fa ctsheets/fs211/en/).",Non-OADS,/arxiv_data1/oa_pdf/52/91/fimmu-03-00053.PMC3342361.pdf
References 1.http://www.cancer.gov/cancertopics/types/prostate .,Non-OADS,/arxiv_data1/oa_pdf/82/cb/520_2011_Article_1213.PMC3342489.pdf
Available at: http://www.cebm.net/index.aspx?,Non-OADS,/arxiv_data1/oa_pdf/f6/f8/520_2011_Article_1378.PMC3342492.pdf
"To view a copy of this license, visit http://creati-vecommons.org/licenses/by-nc-nd/3.0 The Supplementary Information that accompanies this paper is available on the Immunology and Cell Biology webs ite (http://www.nature.com/icb)IL-7 response heterogeneity in naı ¨ve CD8+Tc e l l s MJ Palmer et al 594 Immunology and Cell Biology",Non-OADS,/arxiv_data1/oa_pdf/ce/7d/icb20115a.PMC3342499.pdf
Database URL: http://flybase.org/ ............................................................................................................................... ............................................................................................................................... ............................... Introduction One of the key sources of data within Model Organism Databases (MODs) is the primary research literature.,OADS,/arxiv_data1/oa_pdf/66/6c/bas024.PMC3342516.pdf
"Therefore, it is essential to have a strat-egy to prioritize papers so that the fraction of papers that can be curated includes those with the data of most value to the community.At FlyBase (http://flybase.org), the MOD for Drosophila genetic and genomic information ( 2), the data types that we prioritize include genetic data (e.g.",Non-OADS,/arxiv_data1/oa_pdf/66/6c/bas024.PMC3342516.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creative-commons.org/licenses/by-nc/3.0), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/66/6c/bas024.PMC3342516.pdf
"six steps, which guide the user through the complete skim curation process ( Figure 2 ; http://flybase.org/submission/ publication/).",Non-OADS,/arxiv_data1/oa_pdf/66/6c/bas024.PMC3342516.pdf
"Furthermore, ORs sequences have long been 1http://www.cbs.dtu.dk/services/TMHMM/ 2http://www.enzim.hu/hmmtop 3http://salilab.org/modeller/ FIGUR E 2 | hOR17-209 TM prediction results from TMHMM.",OADS,/arxiv_data1/oa_pdf/d1/ef/fgene-03-00061.PMC3342527.pdf
5http://bioinfo.genetics.uab.edu/hydro-eff.pl 6http://www.ks.uiuc.edu/Research/vmd www.frontiersin.org May 2012 | Volume 3 | Article 61 | 3,Non-OADS,/arxiv_data1/oa_pdf/d1/ef/fgene-03-00061.PMC3342527.pdf
7http://www.gromacs.org/Downloads/Use r_contributions/Force_ﬁelds 8http://www.bevanlab.biochem.vt.edu/GridMA T-MD/ 9http://www.arguslab.com/arguslab.com/ArgusLab.html2.2.,OADS,/arxiv_data1/oa_pdf/d1/ef/fgene-03-00061.PMC3342527.pdf
The addition of ligands may require that 10http://vakser.bioinformatics.ku.edu/main/resources_gramm1.03.php Frontiers in Genetics | Bioinformatics and Computational Biology May 2012 | Volume 3 | Article 61 | 4,Non-OADS,/arxiv_data1/oa_pdf/d1/ef/fgene-03-00061.PMC3342527.pdf
"Theresults of the dynamic simulations presented in Ta b l e 1 identify 11http://vakser.bioinformatics.ku.edu/main/resources_gramm1.03.download.phpnot only the residues that are likely to bind isoamyl acetate over the course of the simulation, but also quantify these interactionsby determining the time spent in a 6-Å radius around the odorant.The residues in Ta b l e 1 are listed in decreasing order of the time spent in the vicinity of the odorant and form a more complete pic-ture of the residues participating in binding and ligand interaction.",OADS,/arxiv_data1/oa_pdf/d1/ef/fgene-03-00061.PMC3342527.pdf
"For details, we refer to the yeast cell cycle project of the Stanford Genome database(http://genome-www.stanford.edu).",OADS,/arxiv_data1/oa_pdf/71/5b/fgene-03-00071.PMC3342528.pdf
"Available at: http://bioinfogp.cnb.csic.es/tools/FIESTA Opitz, J. M. (1987).",OADS,/arxiv_data1/oa_pdf/a6/6c/fnmol-05-00058.PMC3342529.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0)  which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.pISSN 1011-8934 eISSN 1598-6357 Much Concern but Little Research on Semiconductor Occupational  Health Issues Chungsik Yoon Institute of Health and Environment, School of Public Health, Seoul National University, Seoul, Koreahttp://dx.doi.org/10.3346/jkms.2012.27.5.461  •  J Korean Med Sci 2012; 27: 461-464EDITORIAL Occupation & Environmental Medicine Emerging occupational and environmental issues in the  semiconductor industryWe humans have experienced historical lessons on the dangers of introducing new techniques and chemicals expecting bene - fits, while ignoring unexpected harmful side effects.",Non-OADS,/arxiv_data1/oa_pdf/cf/1f/jkms-27-461.PMC3342533.pdf
Yoon C  • Occupational Health Issues in the Semiconductor Industry  462  http://jkms.org  http://dx.doi.org/10.3346/jkms.2012.27.5.461cesses replace old ones before sufficient information is obtained  on health hazards (1).,Non-OADS,/arxiv_data1/oa_pdf/cf/1f/jkms-27-461.PMC3342533.pdf
"Yoon C  • Occupational Health Issues in the Semiconductor Industry  http://jkms.org   463  http://dx.doi.org/10.3346/jkms.2012.27.5.461ers and cancer of all lymphatic and hematopoietic tissues in fe - male workers was significantly elevated, but lack of individual  exposure information made it difficult to associate the cancer with particular agents (7).",Non-OADS,/arxiv_data1/oa_pdf/cf/1f/jkms-27-461.PMC3342533.pdf
"Yoon C  • Occupational Health Issues in the Semiconductor Industry  464  http://jkms.org  http://dx.doi.org/10.3346/jkms.2012.27.5.461SUGGESTION The semiconductor industry is a new industry that developed in  the late twentieth century, and the paucity of scientific evidence on occupational health and environmental issues exists in part because of the short history.",Non-OADS,/arxiv_data1/oa_pdf/cf/1f/jkms-27-461.PMC3342533.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0)  which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.pISSN 1011-8934 eISSN 1598-6357 Depletion of Mitochondrial DNA Stabilizes C1qTNF-Related Protein 6 mRNA in Muscle Cells Mutation and reduction of mitochondrial DNA (mtDNA) have been suggested as factors in the pathogenesis of several metabolic diseases.",Non-OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
"Received: 3 October 201 1 Accepted: 26 January 2012 Address for Correspondence: Seung-Yoon Park, MD Department of Biochemistry, Dongguk University School of  Medicine, 87 Dongdae-ro, Gyeongju 780-714, Korea Tel: +82.54-770-2421, Fax: +82.54-770-2447 E-mail: psyoon@dongguk.ac.kr This study was supported by the Basic Science Research Program  through the National Research Foundation of Korea (NRF) funded by the Ministry of Education, Science and Technology (201 1- 0016102) and by a grant from 21C Frontier Functional Proteomics  Project from Ministry of Education, Science and Technology  (M108KM010008-08K1301-00810).http://dx.doi.org/10.3346/jkms.2012.27.5.465  •  J Korean Med Sci 2012; 27: 465-470ORIGINAL ARTICLE Basic Medical Sciences  INTRODUCTION C1qTNF-related protein 6 (CTRP6) was initially identified as a  member of adiponectin paralogs (1).",Non-OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
"• Effect on mtDNA Depletion in CTRP6 Expression  466  http://jkms.org  http://dx.doi.org/10.3346/jkms.2012.27.5.465gen, Carlsbad, CA, USA) and appropriate antibiotics.",Non-OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
• Effect on mtDNA Depletion in CTRP6 Expression  http://jkms.org   467  http://dx.doi.org/10.3346/jkms.2012.27.5.465bated with 12.5 μg/mL actinomycin D to inhibit transcription.,OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
• Effect on mtDNA Depletion in CTRP6 Expression  468  http://jkms.org  http://dx.doi.org/10.3346/jkms.2012.27.5.465pared to control and reverted C2C12 cells (Fig.,OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
"• Effect on mtDNA Depletion in CTRP6 Expression  http://jkms.org   469  http://dx.doi.org/10.3346/jkms.2012.27.5.465ful tool for the investigation of various cellular changes in re - sponse to mtDNA depletion (12, 17, 18).",OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
• Effect on mtDNA Depletion in CTRP6 Expression  470  http://jkms.org  http://dx.doi.org/10.3346/jkms.2012.27.5.465ic and metabolic stress: a novel mode of inter-organelle crosstalk.,OADS,/arxiv_data1/oa_pdf/86/e8/jkms-27-465.PMC3342534.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0)  which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.pISSN 1011-8934 eISSN 1598-6357 Risk Factors for Mortality in Patients with Carbapenem-Resistant Acinetobacter baumannii  Bacteremia: Impact of Appropriate  Antimicrobial Therapy This study investigated predictors associated with 14-day mortality, and focused especially on the impact of appropriate antimicrobial treatment among patients with carbapenem-resistant  Acinetobacter baumannii (CRAB) bacteremia.",Non-OADS,/arxiv_data1/oa_pdf/74/2e/jkms-27-471.PMC3342535.pdf
"Key Words:  Acinetobacter baumannii ; Risk Factors; Carbapenem-Resistance; MortalityYoun Jeong Kim1, Sang Il Kim1,  Kyung-Wook Hong1, Yang Ree Kim1,  Yeon Joon Park2, and Moon-Won Kang1 Departments of 1Internal Medicine and 2Laboratory  Medicine, The Catholic University of Korea College of Medicine, Seoul, Korea Received: 1 August 201 1 Accepted: 27 January 2012 Address for Correspondence: Yang Ree Kim, MD Department of Internal Medicine, Uijeongbu St. Mary’s Hospital, The Catholic University of Korea College of Medicine,   271 Cheonbo-ro, Uijeongbu 480-717, KoreaTel: +82.31-820-3798, Fax: +82.31-847-2719E-mail: yrkim@catholic.ac.krhttp://dx.doi.org/10.3346/jkms.2012.27.5.471  •  J Korean Med Sci 2012; 27: 471-475ORIGINAL ARTICLE Infectious Diseases, Microbiology & Parasitology INTRODUCTION Acinetobacter baumannii is an important nosocomial pathogen  (1-6).",Non-OADS,/arxiv_data1/oa_pdf/74/2e/jkms-27-471.PMC3342535.pdf
