Sentence,class,file
Immunity 2009; 31:527-8; PMID:19833080; http://dx.doi.org/10.1016/j.immu- ni.2009.09.007.213.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/02/96/149.PMC3526020.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/63/3d/85.PMC3526021.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/da/44/102.PMC3526022.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/87/3c/4.PMC3526023.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/aa/f4/234.PMC3526024.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/5e/ca/158.PMC3526025.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/ad/e4/194.PMC3526026.pdf
http://www.cdc.gov/diabetes/statis-tics/prev/national/menuage.htm 2010 2.,Non-OADS,/arxiv_data1/oa_pdf/ad/e4/194.PMC3526026.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/ea/1e/34.PMC3526027.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/75/f4/27.PMC3526028.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/18/ba/56.PMC3526029.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/0f/10/39.PMC3526030.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/75/a5/223.PMC3526031.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/10/70/e3.PMC3526032.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/bb/2b/44.PMC3526033.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/da/f4/170.PMC3526034.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/4d/31/273.PMC3526035.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/cc/65/183.PMC3526036.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/d5/f3/65.PMC3526037.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/79/35/115.PMC3526038.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/52/d9/74.PMC3526039.pdf
"See  http://creativecommons.org/licenses/by-nc-nd/3.0/ for details.DIGESTS 312 DIABETES, VOL.",Non-OADS,/arxiv_data1/oa_pdf/f0/89/311.PMC3526040.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/36/6b/18.PMC3526041.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/63/7f/9.PMC3526042.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/41/08/31.PMC3526043.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/31/30/261.PMC3526044.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/5c/82/22.PMC3526045.pdf
Available from http://investors.xoma.com/releasedetail.cfm?ReleaseID=559470 23.,Non-OADS,/arxiv_data1/oa_pdf/5c/82/22.PMC3526045.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/3c/2e/1.PMC3526046.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/0d/80/36.PMC3526047.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/f3/fd/29.PMC3526048.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/01/b3/e2.PMC3526049.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/c8/00/124.PMC3526050.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/c2/d6/41.PMC3526051.pdf
"In order to facilitate this con- version, a table and calculator are available on the NGSP website (http://www.ngsp.org/convert1.asp).TABLE 1 Selected attributes of HbA 1c Positive Negative Biology Reﬂects chronic glycemia Variable glycation Value independent of acute factors (e.g.,stress, exercise)Age Very low intraindividual variabilityRace Erythrocyte life span Analysis Subject need not be fastingHemoglobin variants may interfere Blood may be collected any time of the dayChemical modi ﬁcation of hemoglobin may interfere Sample is stableAssay is standardizedAccuracy is monitored Clinical Monitor long-term glucose controlMay be altered by factors other than glucose (e.g.,hemolysis, CKD, iron deﬁciency anemia) Used to guide therapyConcentration predicts the risk of microvascular complications of diabetes Used to diagnose diabetesCOMMENTARY 42 DIABETES, VOL.",Non-OADS,/arxiv_data1/oa_pdf/c2/d6/41.PMC3526051.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/a6/2e/137.PMC3526052.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/de/7f/214.PMC3526053.pdf
"Images were generated using a combination of Chimera (University of California San Francisco), Gimp (Gnu Image Manipulation Program, http://www.gimp.org/), and Powerpoint (Microsoft).",OADS,/arxiv_data1/oa_pdf/de/7f/214.PMC3526053.pdf
Additional homology modeling was performed using HHPRED software (ftp://toolkit.lmb.uni-muenchen.de/HH- suite/) to predict the effect of alanine substitution for W799 and for C909 usinglower sequence identity PTP homologs as templates.Statistical analysis.,OADS,/arxiv_data1/oa_pdf/de/7f/214.PMC3526053.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/2a/70/e1.PMC3526054.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/a4/d8/283.PMC3526055.pdf
"Microarray analysis andexpression quanti ﬁcation was performed by guanine cytosine robust multi- array analysis from Bioconductor (http://www.bioconductor.org) as describedpreviously (14,15).",OADS,/arxiv_data1/oa_pdf/a4/d8/283.PMC3526055.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/d6/7c/49.PMC3526056.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/71/98/96.PMC3526057.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/23/7b/243.PMC3526059.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/24/b8/25.PMC3526060.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/35/18/291.PMC3526061.pdf
The samples that passed all QC criteria were thenused to impute for the ungenotyped or missing SNPs from the phase 2 HapMap CHB+JPT (release number 22) reference panel using IMPUTE (version 2.1.2; http://mathgen.stats.ox.ac.uk/impute/impute.html) software (14).,OADS,/arxiv_data1/oa_pdf/35/18/291.PMC3526061.pdf
"For stage 1 GWAS, the genotyped SNPs (495,686) and imputed SNPs (1,738,508) were tested for their associations with T2D using PLINK (version 1.07; http://pngu.mgh.harvard.edu/~purcell/plink/) (15), andSNPTEST (version 2.2.0; https://mathgen.stats.ox.ac.uk/genetics_software/ snptest/snptest.html) (14), respectively.",OADS,/arxiv_data1/oa_pdf/35/18/291.PMC3526061.pdf
"Associations between each SNP and mRNA expression level of nearby genes were obtainedby using Spearman rank correlation for ,10,000 permutations as the default settings of Genevar (version 3.1.1; http://www.sanger.ac.uk/resources/software/genevar/).",OADS,/arxiv_data1/oa_pdf/35/18/291.PMC3526061.pdf
"Thecis-eQTL ( cis-expression quantitative loci) analysis using the Genevar eQTL database (19) (http://www.sanger.ac.uk/resources/software/genevar/) showed suggestive ev- idence of association between an intronic SNP (rs4752300, r 2= 0.79 with rs10886471) in GRK5 andGRK5 mRNA expression levels at P=631024(r= 0.361 between the risk allele and GRK5 expression levels) in adipose tissue.",OADS,/arxiv_data1/oa_pdf/35/18/291.PMC3526061.pdf
See http://creativecommons.org/licenses/by -nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/38/96/254.PMC3526062.pdf
"ADA EVENTS Intensive Diabetes Management for Primary Care 9 February 2013Hyatt RegencyDenver, ColoradoWeb site: professional.diabetes.org/colorado E-mail: sglass@diabetes.org 60th Annual Advanced Postgraduate Course 22–24 February 2013 Hilton New YorkNew York, New YorkWeb site: http://professional.diabetes.org/pg13 2013 Diabetes Professional Educators Conference 15–16 March 2013 Radisson Paper Valley HotelAppleton, WisconsinWeb site: professional.diabetes.org/wisconsin E-mail: pkasprzak@diabetes.org28th Clinical Conference on Diabetes 23–26 May 2013 Hyatt Regency Grand CypressOrlando, FloridaWeb site: professional.diabetes.org/cc E-mail: plowe@diabetes.org 73rd Scienti ﬁc Sessions 21–25 June 2013 McCormick Place Convention CenterChicago, IllinoisWeb site: http://scienti ﬁcsessions.diabetes.org 74th Scienti ﬁc Sessions 13–17 June 2014 Moscone Center San Francisco, CaliforniaWeb site: http://scienti ﬁcsessions.diabetes.org Contact for information on ADA events: American Diabetes Association, 1701 N. Beauregard St., Alexandria, VA 22311.Tel: 800-232-3472, select option 1.",Non-OADS,/arxiv_data1/oa_pdf/5d/af/310.PMC3526063.pdf
Web site: http://professional.diabetes.org/ce.,Non-OADS,/arxiv_data1/oa_pdf/5d/af/310.PMC3526063.pdf
Authors should use the NGSP ’sH b A 1cconverter at http://www.ngsp.org/convert1.asp to calculate HbA 1cvalues as both % and mmol/mol.,Non-OADS,/arxiv_data1/oa_pdf/5d/af/310.PMC3526063.pdf
"c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society Biochemical Journal    www.biochemj.org © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"For co-localization studies with exogenously and endogenouslyexpressed proteins, cells (1 ×10 5) were plated on to 13 mm glass coverslips and transfected with 1 μg each of the indicated c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"Similarly, no co-localization was observed between c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
Three-dimensional reconstruction of the acquired image stacks conﬁrmed that allCD63-positive structures were co-labelled by LAMP1–YCaM (Figure 3B and Supplementary Movie S1 at http://www.biochemj.,Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"Consistent with these observations, treatment of LAMP1–YCaM-transfected c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
also assessed the utility of this probe to measure Ca2+release at the single-organelle level (Figure 6 and Supplementary Movie S2 at http://www.biochemj.org/bj/449/bj4490449add.htm).,OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"Interestingly, c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"With these facts in mind we started the present study by constructing a lysosomally targeting c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"1, 11–21 c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
"Cell Calcium 34, 109–119 Received 1 June 2012/24 October 2012; accepted 25 October 2012 Published as BJ Immediate Publication 25 October 2012, doi:10.1042/BJ20120898 c/circlecopyrtThe Authors Journal compilation c/circlecopyrt2013 Biochemical Society © 2013 The Author(s) The author(s) has paid for this article to be freely available under the terms of the Creative Commons Attribution Non-Commercial Licence (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution and reproduction in any medium, provided the original work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/f6/26/bj4490449.PMC3526116.pdf
Available  from: http://www.bd.com/ds/   technicalCenter/inserts/Pseudomonas_Agars.pdf  [Last accessed   on 2011 Dec 31].,OADS,/arxiv_data1/oa_pdf/2b/cc/JRMS-17-332.PMC3526125.pdf
"Ministry of Health and Medical Education, Deputy of Research  [Online] 2011 [Citd 2011 Sept 22]; Available from: URL:  http://www.hbi.ir   11.",Non-OADS,/arxiv_data1/oa_pdf/09/eb/JRMS-17-393.PMC3526136.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by-nc/3.0/), which permits non-commercial reuse, distribution, and reproduction in any medium, provided the origin-al work is properly cited.",Non-OADS,/arxiv_data1/oa_pdf/51/cd/dds427.PMC3526159.pdf
"Spike detection and analysis wereeither carried out in pClamp 10 or with routines written inIgor (TaroTools, Dr Taro Ishikawa, https://sites.google.com/site/tarotoolsregister) and further analysis was performedusing Excel or Igor software.",OADS,/arxiv_data1/oa_pdf/51/cd/dds427.PMC3526159.pdf
"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.or g/ licenses/by-nc/3.0), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is prop- erly cited.Human Molecular Genetics, 2013, Vol.",Non-OADS,/arxiv_data1/oa_pdf/bf/13/dds435.PMC3526165.pdf
Twelve of 40 basepositions containing heteroplasmic variants are reported tobe polymorphic ( .1% of reported sequences with variants) at the population level (http://www.mtdb.igp.uu.se/).,Non-OADS,/arxiv_data1/oa_pdf/bf/13/dds435.PMC3526165.pdf
"In our data, 21 of 31 controlregion ( MT-HV2 ) heteroplasmic variants were detected, and 2 of 9 coding region ( MT-CO3 ) variants have previous been reported as somatic variants (http://www.mitomap.org/MITOMAP) (Supplementary Material, Table S4).",OADS,/arxiv_data1/oa_pdf/bf/13/dds435.PMC3526165.pdf
Available at (http://hdl.handle.net/10101/ npre.2011.6466.1).,Non-OADS,/arxiv_data1/oa_pdf/ac/4a/ismej201290a.PMC3526173.pdf
"To view a copy of this license, visit h ttp://creativecommons.org/ licenses/by-nc-nd/3.0/ Supplementary Information accompanies the paper on The I SME Journal website (http://www.nature.com/ismej)Genome sequence of the predatory Bacteriovorax marinus LC Crossman et al 160 The ISME Journal",Non-OADS,/arxiv_data1/oa_pdf/ac/4a/ismej201290a.PMC3526173.pdf
"To view a copy of this license, visit http://creativecommons.org/ licenses/by-nc-sa/3.0/ Supplementary Information accompanies the paper on The I SME Journal website (http://www.nature.com/ismej)Microbial mats of Guerrero Negro J Kirk Harris et al 60 The ISME Journal",Non-OADS,/arxiv_data1/oa_pdf/5c/d0/ismej201279a.PMC3526174.pdf
"To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-nd/3.0/ Supplementary Information accompanies the paper on The ISME Journal website (http: //www.nature.com/ismej)Biomolecular isolation for eco-systems biology H Roume et al 121 The ISME Journal",Non-OADS,/arxiv_data1/oa_pdf/34/52/ismej201272a.PMC3526178.pdf
"Materials and methods Recovery of single-cell genomic DNA Genomic DNA was recovered from an individual cell representing the acI lineage at the Bigelow Laboratory Single Cell Genomics Center (http://www.bigelow.org/scgc), as previously described (Martinez-Garcia et al.",OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
All general aspects of and detailed protocols for library con- struction and sequencing can be found on the JGIwebsite (http://www.jgi.doe.gov/).,OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
"Genome size estimate An estimate of complete genome size was obtainedfor SCGC AAA027-L06 using core gene analysis.To identify the core genes, 138 Actinobacteria classfinished genomes, currently available at the DOE Joint Genome Institute Integrated Microbial Gen- omes site (IMG, http://img.jgi.doe.gov/, (Markowitzet al.",OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
", 2008) with 1000 bootstrap runs on the CIPRES web portal (http://www.phylo.org) using near-full-length reference 16S rRNA gene sequences from a manually curated alignment (Newton et al.",OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
http://infernal.janelia.org).Additional gene-prediction analysis and manualfunctional annotation was performed within the IMG platform.,OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
"To view acopy of this license, visit http://creativecommons.org/ licenses/by-nc-nd/3.0/ Supplementary Information accompanies the paper on The IS ME Journal website (http://www.nature.com/ismej)Single-cell genomics of freshwater Actinobacteria SL Garcia et al 147 The ISME Journal",Non-OADS,/arxiv_data1/oa_pdf/24/1f/ismej201286a.PMC3526179.pdf
Metagenomic sequences are deposited in Short Read Archive (http://www.ncbi.nlm.nih.gov/sra) with accession number SRA053109.,OADS,/arxiv_data1/oa_pdf/b5/87/ismej201282a.PMC3526184.pdf
org/licenses/by-nc-nd/3.0/ Supplementary Information accompanies the paper on The I SME Journal website (http://www.nature.com/ismej)Microbial response to polyaromatics M-E Guazzaroni et al 136 The ISME Journal,OADS,/arxiv_data1/oa_pdf/b5/87/ismej201282a.PMC3526184.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/a2/32/77.PMC3526198.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/cc/54/98.PMC3526200.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/d3/af/84.PMC3526201.pdf
Available from http://www.cdc.gov/nchs/about/major/ nhanes/datalink.htm.,OADS,/arxiv_data1/oa_pdf/d3/af/84.PMC3526201.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/97/0a/130.PMC3526202.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/89/4e/34.PMC3526204.pdf
"Corresponding author: Catherine Pihoker, catherine.pihoker@seattlechildrens.org.Received 16 April 2012 and accepted 3 July 2012.DOI: 10.2337/dc12-0720This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0720/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/17/d6/27.PMC3526205.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/17/d6/27.PMC3526205.pdf
DOI: 10.2337/dc12-0741 This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0741/-/DC1.,Non-OADS,/arxiv_data1/oa_pdf/f5/54/56.PMC3526206.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/f5/54/56.PMC3526206.pdf
Avail-able from http://www.cdc.gov/pednss/ pdfs/PNSS_2009.pdf.,OADS,/arxiv_data1/oa_pdf/f5/54/56.PMC3526206.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/97/8e/20.PMC3526207.pdf
"Corresponding author: L.A. Raynor, rayno007@umn.edu.Received 29 March 2012 and accepted 1 July 2012.DOI: 10.2337/dc12-0609This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0609/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/57/04/70.PMC3526210.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/57/04/70.PMC3526210.pdf
"Corresponding author: Thomas J. Hoerger, tjh@rti.org.Received 20 April 2012 and accepted 23 June 2012.DOI: 10.2337/dc12-0759This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0759/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/92/c5/63.PMC3526214.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/92/c5/63.PMC3526214.pdf
Available at http://www.cdc.gov/hepatitis/Statistics/2010Surveillance/PDFs/2010HepSurveillanceRpt.pdf.,OADS,/arxiv_data1/oa_pdf/92/c5/63.PMC3526214.pdf
Available at http://www.cdc.gov/vaccines/programs/vfc/cdc-vac-price-list.htm.,Non-OADS,/arxiv_data1/oa_pdf/92/c5/63.PMC3526214.pdf
See http://creativecommons.org/licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/c0/86/6.PMC3526217.pdf
"NCT01034319, clinicaltrials.gov.This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0884/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/a2/18/13.PMC3526219.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/a2/18/13.PMC3526219.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/f0/4a/104.PMC3526221.pdf
"Corresponding author: Carlos Lorenzo, lorenzo@uthscsa.edu.Received 16 January 2012 and accepted 6 July 2012.DOI: 10.2337/dc12-0101This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0101/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/18/d8/101.PMC3526225.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/18/d8/101.PMC3526225.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/cb/b1/90.PMC3526228.pdf
Available from http://care.diabetesjournals.org/site/misc/stats.pdf.,Non-OADS,/arxiv_data1/oa_pdf/5d/80/1.PMC3526229.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/64/f4/150.PMC3526231.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/8d/5f/124.PMC3526233.pdf
Available from: http://www.connectingforhealth.nhs.uk/systemsandservices/data/uktc/ readcodes.,OADS,/arxiv_data1/oa_pdf/8d/5f/124.PMC3526233.pdf
Available from http://www.itmat.upenn.,Non-OADS,/arxiv_data1/oa_pdf/8d/5f/124.PMC3526233.pdf
"NCT01394055, clinicaltrials.gov.This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-1128/-/DC1.",Non-OADS,/arxiv_data1/oa_pdf/37/7d/41.PMC3526234.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/37/7d/41.PMC3526234.pdf
DOI: 10.2337/dc12-0493 This article contains Supplementary Data online at http://care.diabetesjournals.org/lookup/suppl/doi:10 .2337/dc12-0493/-/DC1.,Non-OADS,/arxiv_data1/oa_pdf/43/7a/137.PMC3526236.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/43/7a/137.PMC3526236.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/b0/aa/145.PMC3526237.pdf
See http://creativecommons.org/ licenses/by-nc-nd/3.0/ for details.,Non-OADS,/arxiv_data1/oa_pdf/ea/23/157.PMC3526238.pdf
